ma_id,review_id,k,total_n,estimate,p_value,significant,pi_crosses_null,robustness,n_audit_fails,has_pub_bias,verdict,failed_criteria
CD000028_pub4_data__A1,CD000028,36,61632,-0.122319,0.00466,True,True,Fragile,2,False,NOT YET,prediction_interval;robustness;audit_flags
CD000028_pub4_data__A2,CD000028,42,85253,-0.383057,0.0,True,False,Fragile,0,False,NOT YET,robustness
CD000028_pub4_data__A3,CD000028,36,61759,-0.412765,0.0,True,False,Fragile,1,True,NOT YET,robustness;audit_flags;pub_bias
CD000028_pub4_data__A4,CD000028,32,59571,-0.339612,0.0,True,False,Fragile,0,False,NOT YET,robustness
CD000028_pub4_data__A5,CD000028,13,29846,-0.128622,0.261954,False,True,Fragile,1,False,NOT YET,significance;prediction_interval;robustness;audit_flags
CD000028_pub4_data__A6,CD000028,4,11310,0.807792,0.184445,False,True,Fragile,1,False,NOT YET,significance;prediction_interval;robustness;audit_flags;evidence_volume
CD000143_pub2_data__A1,CD000143,47,3269,-0.786044,4.4e-05,True,True,Moderate,2,False,NOT YET,prediction_interval;audit_flags
CD000143_pub2_data__A2,CD000143,23,1851,-0.254599,0.161111,False,True,Moderate,3,True,NOT YET,significance;prediction_interval;audit_flags;pub_bias
CD000143_pub2_data__A3,CD000143,1,92,-0.166481,0.716401,False,False,Moderate,0,False,NOT YET,significance;evidence_volume
CD000143_pub2_data__A4,CD000143,5,433,-0.175504,0.684465,False,True,Moderate,1,False,NOT YET,significance;prediction_interval;audit_flags;evidence_volume
CD000143_pub2_data__A5,CD000143,1,92,-0.166481,0.716401,False,False,Moderate,0,False,NOT YET,significance;evidence_volume
CD000143_pub2_data__A6,CD000143,1,92,-0.045462,0.964536,False,False,Moderate,0,False,NOT YET,significance;evidence_volume
CD000143_pub2_data__A7,CD000143,1,92,0.199046,0.777942,False,False,Moderate,0,False,NOT YET,significance;evidence_volume
CD000143_pub2_data__A8,CD000143,1,89,-0.147636,0.760662,False,False,Moderate,0,False,NOT YET,significance;evidence_volume
CD000219_pub5_data__A1,CD000219,27,6858,-0.390958,0.000115,True,True,Unstable,1,False,NOT YET,prediction_interval;robustness;audit_flags
CD000219_pub5_data__A2,CD000219,11,3053,0.602688,0.000502,True,False,Unstable,0,False,NOT YET,robustness
CD000219_pub5_data__A3,CD000219,14,4107,-0.249942,0.041976,True,True,Unstable,2,False,NOT YET,prediction_interval;robustness;audit_flags
CD000219_pub5_data__A4,CD000219,7,1650,-0.741655,0.094573,False,True,Unstable,0,False,NOT YET,significance;prediction_interval;robustness
CD000219_pub5_data__A5,CD000219,6,1490,-0.442078,0.193878,False,True,Unstable,1,False,NOT YET,significance;prediction_interval;robustness;audit_flags
CD000219_pub5_data__A6,CD000219,6,2200,-0.09906,0.415548,False,True,Unstable,0,False,NOT YET,significance;prediction_interval;robustness
CD000478_pub5_data__A1,CD000478,32,1318,-0.852542,1e-06,True,False,Fragile,0,False,NOT YET,robustness
CD000478_pub5_data__A2,CD000478,6,288,0.469377,0.280752,False,True,Fragile,0,False,NOT YET,significance;prediction_interval;robustness;evidence_volume
CD000478_pub5_data__A3,CD000478,2,66,1.476309,0.423458,False,False,Fragile,0,False,NOT YET,significance;robustness;evidence_volume
CD000478_pub5_data__A4,CD000478,2,166,0.830652,0.575735,False,False,Fragile,0,False,NOT YET,significance;robustness;evidence_volume
CD000547_pub3_data__A1,CD000547,28,2041,0.065589,0.864968,False,True,Fragile,1,True,NOT YET,significance;prediction_interval;robustness;audit_flags;pub_bias
CD000547_pub3_data__A2,CD000547,4,243,0.029944,0.978176,False,True,Fragile,0,False,NOT YET,significance;prediction_interval;robustness;evidence_volume
CD000547_pub3_data__A3,CD000547,24,1570,-0.007209,0.986245,False,True,Fragile,0,False,NOT YET,significance;prediction_interval;robustness
CD000547_pub3_data__A4,CD000547,9,691,1.135254,0.208813,False,True,Fragile,1,False,NOT YET,significance;prediction_interval;robustness;audit_flags
CD000547_pub3_data__A5,CD000547,25,2049,-0.430564,0.035289,True,False,Fragile,0,False,NOT YET,robustness
CD000547_pub3_data__A6,CD000547,17,2425,-0.798401,0.008997,True,True,Fragile,1,False,NOT YET,prediction_interval;robustness;audit_flags
CD000547_pub3_data__A7,CD000547,63,7171,0.431596,0.001564,True,True,Fragile,1,False,NOT YET,prediction_interval;robustness;audit_flags
CD000547_pub3_data__A8,CD000547,57,9204,0.878864,1e-06,True,True,Fragile,4,True,NOT YET,prediction_interval;robustness;audit_flags;pub_bias
CD000547_pub3_data__A9,CD000547,4,462,1.507886,0.153414,False,True,Fragile,1,False,NOT YET,significance;prediction_interval;robustness;audit_flags;evidence_volume
CD000547_pub3_data__A10,CD000547,43,5660,0.549201,0.054633,False,True,Fragile,4,True,NOT YET,significance;prediction_interval;robustness;audit_flags;pub_bias
CD000547_pub3_data__A11,CD000547,4,344,0.005021,0.996332,False,True,Fragile,0,False,NOT YET,significance;prediction_interval;robustness;evidence_volume
CD000547_pub3_data__A13,CD000547,4,289,0.020002,0.985411,False,True,Fragile,0,False,NOT YET,significance;prediction_interval;robustness;evidence_volume
CD001072_pub2_data__A1,CD001072,1,32,1.84055,0.020656,False,False,not_covered,0,False,NOT YET,significance;evidence_volume
CD001072_pub2_data__A2,CD001072,1,32,1.540445,0.049143,False,False,not_covered,0,False,NOT YET,significance;evidence_volume
CD001072_pub2_data__A3,CD001072,1,32,-2.713369,0.073768,False,False,not_covered,0,False,NOT YET,significance;evidence_volume
CD001155_pub3_data__A1,CD001155,182,65148,-0.30599,0.0,True,False,Robust,0,False,ACTIONABLE,
CD001155_pub3_data__A2,CD001155,494,245137,-0.08039,1.5e-05,True,False,Robust,2,True,NOT YET,audit_flags;pub_bias
CD001155_pub3_data__A3,CD001155,83,75135,-0.337419,2e-06,True,False,Robust,1,True,NOT YET,audit_flags;pub_bias
CD001155_pub3_data__A4,CD001155,78,66048,-0.199371,0.000215,True,True,Robust,1,False,NOT YET,prediction_interval;audit_flags
CD001155_pub3_data__A5,CD001155,47,49267,-0.631574,0.0,True,False,Robust,0,False,ACTIONABLE,
CD001155_pub3_data__A6,CD001155,40,17219,-0.017522,0.757697,False,True,Robust,0,False,NOT YET,significance;prediction_interval
CD001155_pub3_data__A7,CD001155,21,7466,-0.043822,0.524721,False,True,Robust,0,False,NOT YET,significance;prediction_interval
CD001155_pub3_data__A8,CD001155,21,11751,0.020478,0.632874,False,True,Robust,0,False,NOT YET,significance;prediction_interval
CD001155_pub3_data__A9,CD001155,10,5798,-0.009416,0.988479,False,True,Robust,0,False,NOT YET,significance;prediction_interval
CD001155_pub3_data__A10,CD001155,1,770,0.271434,0.892116,False,False,Robust,0,False,NOT YET,significance;evidence_volume
CD001321_pub7_data__A1,CD001321,103,22281,-0.458525,0.0,True,True,Fragile,4,True,NOT YET,prediction_interval;robustness;audit_flags;pub_bias
CD001321_pub7_data__A2,CD001321,30,7489,-0.426097,0.000715,True,True,Fragile,2,False,NOT YET,prediction_interval;robustness;audit_flags
CD001321_pub7_data__A3,CD001321,8,1187,-0.030277,0.842549,False,True,Fragile,0,False,NOT YET,significance;prediction_interval;robustness
CD001321_pub7_data__A4,CD001321,4,1574,0.094041,0.523974,False,True,Fragile,0,False,NOT YET,significance;prediction_interval;robustness;evidence_volume
CD001321_pub7_data__A5,CD001321,10,2166,0.314399,0.272738,False,True,Fragile,1,True,NOT YET,significance;prediction_interval;robustness;audit_flags;pub_bias
CD001396_pub4_data__A1,CD001396,49,5351,-0.331326,0.099054,False,True,Fragile,1,True,NOT YET,significance;prediction_interval;robustness;audit_flags;pub_bias
CD001396_pub4_data__A2,CD001396,56,6999,0.999155,0.0,True,False,Fragile,2,True,NOT YET,robustness;audit_flags;pub_bias
CD001396_pub4_data__A3,CD001396,29,3722,0.688758,4.4e-05,True,False,Fragile,0,False,NOT YET,robustness
CD001396_pub4_data__A4,CD001396,23,2781,0.840376,0.000336,True,False,Fragile,0,False,NOT YET,robustness
CD001396_pub4_data__A5,CD001396,14,1230,0.417546,0.045831,True,False,Fragile,0,False,NOT YET,robustness
CD001396_pub4_data__A6,CD001396,21,2633,0.673085,0.00184,True,False,Fragile,2,True,NOT YET,robustness;audit_flags;pub_bias
CD001396_pub4_data__A7,CD001396,8,1352,1.682567,0.007779,True,False,Fragile,0,False,NOT YET,robustness
CD001396_pub4_data__A8,CD001396,14,2050,1.181796,0.000369,True,False,Fragile,1,True,NOT YET,robustness;audit_flags;pub_bias
CD001396_pub4_data__A9,CD001396,16,2304,0.776206,0.005446,True,False,Fragile,2,True,NOT YET,robustness;audit_flags;pub_bias
CD001396_pub4_data__A10,CD001396,16,1753,0.99425,0.000432,True,False,Fragile,0,False,NOT YET,robustness
CD001396_pub4_data__A11,CD001396,13,1704,1.186649,0.000124,True,False,Fragile,0,False,NOT YET,robustness
CD001396_pub4_data__A12,CD001396,19,2681,0.721878,0.002529,True,False,Fragile,1,True,NOT YET,robustness;audit_flags;pub_bias
CD001396_pub4_data__A13,CD001396,10,1022,0.872399,0.057995,False,True,Fragile,0,False,NOT YET,significance;prediction_interval;robustness
CD001396_pub4_data__A14,CD001396,26,3455,0.23302,0.087037,False,True,Fragile,1,False,NOT YET,significance;prediction_interval;robustness;audit_flags
CD001396_pub4_data__A15,CD001396,8,1101,-0.333554,0.652798,False,True,Fragile,0,False,NOT YET,significance;prediction_interval;robustness
CD001396_pub4_data__A16,CD001396,7,975,-0.199729,0.801626,False,True,Fragile,0,False,NOT YET,significance;prediction_interval;robustness
CD001396_pub4_data__A17,CD001396,3,384,-0.448235,0.736675,False,True,Fragile,0,False,NOT YET,significance;prediction_interval;robustness;evidence_volume
CD001396_pub4_data__A18,CD001396,7,788,-0.179512,0.821699,False,True,Fragile,0,False,NOT YET,significance;prediction_interval;robustness
CD001396_pub4_data__A19,CD001396,30,3502,0.920384,0.0,True,False,Fragile,2,True,NOT YET,robustness;audit_flags;pub_bias
CD001396_pub4_data__A20,CD001396,18,1766,-0.044848,0.709341,False,True,Fragile,0,False,NOT YET,significance;prediction_interval;robustness
CD001431_pub6_data__A1,CD001431,437,103164,0.10637,0.015625,True,True,Robust,6,True,NOT YET,prediction_interval;audit_flags;pub_bias
CD001431_pub6_data__A2,CD001431,377,123292,0.219602,3e-06,True,True,Robust,3,False,NOT YET,prediction_interval;audit_flags
CD001431_pub6_data__A3,CD001431,353,86492,0.257195,6e-06,True,True,Robust,4,True,NOT YET,prediction_interval;audit_flags;pub_bias
CD001431_pub6_data__A4,CD001431,136,32323,0.311176,7.5e-05,True,True,Robust,3,False,NOT YET,prediction_interval;audit_flags
CD001431_pub6_data__A5,CD001431,116,45761,0.115555,0.035738,True,True,Robust,3,False,NOT YET,prediction_interval;audit_flags
CD001431_pub6_data__A6,CD001431,60,12327,0.276397,0.157003,False,True,Robust,1,True,NOT YET,significance;prediction_interval;audit_flags;pub_bias
CD001533_pub7_data__A1,CD001533,43,3535,-0.518714,0.001106,True,True,Moderate,4,True,NOT YET,prediction_interval;audit_flags;pub_bias
CD001533_pub7_data__A2,CD001533,47,3884,-0.601435,4.2e-05,True,True,Moderate,2,False,NOT YET,prediction_interval;audit_flags
CD001533_pub7_data__A3,CD001533,30,2794,-0.27743,0.031515,True,True,Moderate,2,False,NOT YET,prediction_interval;audit_flags
